sentiment,review_text,review_text_original,review_text_encoding_fixed,review_text_cleaned,encoding_changed,contraction_changed,non_english_words
Negative,the environment is good but the basic is too low,the environment is good but the basic is too low.,the environment is good but the basic is too low.,the environment is good but the basic is too low.,False,False,[]
Negative,still a lot of manual work and very volume based key performance indicator,still a lot of manual work and very volume based kpi.,still a lot of manual work and very volume based kpi.,still a lot of manual work and very volume based kpi.,False,False,[]
Negative,only give short break,only give short break,only give short break,only give short break,False,False,[]
Negative,but depends on your tolerance with the culture,but depends on your tolerance with the culture,but depends on your tolerance with the culture,but depends on your tolerance with the culture,False,False,[]
Negative,everything is manual and use a lot of paper,everything is manual and use a lot of paper.,everything is manual and use a lot of paper.,everything is manual and use a lot of paper.,False,False,[]
Negative,the company only side customer,the company only side customer,the company only side customer,the company only side customer,False,False,[]
Positive,but usually management would keep,but usually management would keep,but usually management would keep,but usually management would keep,False,False,[]
Negative,overall in placename if working in banking can lived a good life but work life balance not sure because too packed with task,overall in ipoh if working in banking can lived a good life but work life balance not sure because too packed with task.,overall in ipoh if working in banking can lived a good life but work life balance not sure because too packed with task.,overall in ipoh if working in banking can lived a good life but work life balance not sure because too packed with task.,False,False,[]
Negative,however the role requires a significant amount of self directed learning,"however, the role requires a significant amount of self-directed learning.","however, the role requires a significant amount of self-directed learning.","however, the role requires a significant amount of self-directed learning.",False,False,[]
Negative,stay back almost everyday,stayback almost everyday.,stayback almost everyday.,stayback almost everyday.,False,False,[]
Negative,different business units work in silos,different business units work in silos.,different business units work in silos.,different business units work in silos.,False,False,[]
Positive,could be working from home most of the time,could be working from home most of the time.,could be working from home most of the time.,could be working from home most of the time.,False,False,[]
Negative,great start but no work life balance,great start but no wlb,great start but no wlb,great start but no wlb,False,False,[]
Positive,don't push yourself to hard but learn and try to slowly to improve your future,"don't push yourself to hard, but learn and try to slowly to improve your future.","don't push yourself to hard, but learn and try to slowly to improve your future.","do not push yourself to hard, but learn and try to slowly to improve your future.",False,True,[]
