AI_Label,Final_Label,AI_Confidence,Review_Status,sentence_text
Positive,3,0.354210168,Manual Review,Traditional type of work experience.
Negative,3,0.354304284,Manual Review,"Place to look for experience only (1 - 2 years cap), "
Neutral,2,0.357208014,Manual Review,The environment is good but the basic is too low.
Positive,3,0.35788849,Manual Review,very traditional and corporate work culture
Negative,3,0.368872017,Manual Review,Depends on department
Negative,Negative,0.370873749,Manual Review,Still a lot of manual work and very volume based KPI.
Negative,Negative,0.371591985,Manual Review,Only give short break
Positive,2,0.372188747,Manual Review,but Depends on Your Tolerance with the Culture
Positive,2,0.37622416,Manual Review,Everything is manual and use a lot of paper.
Negative,Negative,0.376857489,Manual Review,the company only side customer
Positive,3,0.378016621,Manual Review,Traditional thinking and working ethics
Positive,Positive,0.37975964,Manual Review,but usually management would keep
Neutral,Neutral,0.385690302,Manual Review,"Despite this being normal, they needed to check first."
Neutral,2,0.387150645,Manual Review,Overall in Ipoh if working in banking can lived a good life but work life balance not sure because too packed with task.
Positive,2,0.387764871,Manual Review,"However, the role requires a significant amount of self-directed learning."
Negative,Negative,0.389125764,Manual Review,Stayback almost everyday.
Negative,Negative,0.389684826,Manual Review,Different business units work in silos.
Positive,Positive,0.391227663,Manual Review,Could be working from home most of the time.
Neutral,2,0.393584609,Manual Review,Great Start but no wlb
Positive,3,0.393742919,Manual Review,"So for those who are not familiar with banking terms/products, if your background is not related to banking/financials, you have to learn yourself."
Negative,1,0.394458055,Manual Review,"Don't push yourself to hard, but learn and try to slowly to improve your future."
Positive,3,0.395196885,Manual Review,but the supervisors
Positive,2,0.395659208,Manual Review,even if it wasnât recognised by management.
Positive,2,0.395891279,Manual Review,Best colleagues but bad upper management
Positive,2,0.401115566,Manual Review,"but compared to other commercial bank, rhb is like medium."
Positive,Positive,0.402735025,Manual Review,salary at average & quite many campaigns for staff to earn commision
Negative,1,0.403642982,Manual Review,"3day office, 2 days wfh."
Negative,Negative,0.404296488,Manual Review,Basically speaking no one goes back on time sharp 05:45pm.
Positive,3,0.404306829,Manual Review,Management would be depends on your dept.
Positive,3,0.404729038,Manual Review,"However, this is considered the norm in the banking industry, where efficiency and accuracy are crucial."
Positive,3,0.406516105,Manual Review,Work there for 1 year.
Negative,Negative,0.408238173,Manual Review, but in terms of workloads there werenât much that interns are allowed to do as it is customerâs privacy matters.
Negative,Negative,0.40846315,Manual Review,Too many to list down.
Negative,Negative,0.409000427,Manual Review,Multiple reporting layers.
Positive,2,0.41147247,Manual Review,usually will stay until 7pm ++ to do cold calling
Positive,Positive,0.412173241,Manual Review,"No toxic and eventho you were overwhelmed with heavy workloads, but its okay."
Positive,2,0.414582342,Manual Review,"many approval structure , compliances and hierarch to meet."
Positive,2,0.416238546,Manual Review,Last time staff needed to perform for annual dinners if selected.
Positive,3,0.41680339,Manual Review,Perhaps the same questions also come from your colleagues.
Negative,1,0.417570353,Manual Review,if ur fresh graduate just try to gain experience .
Negative,3,0.417824894,Manual Review,Typical corporate company with a lot of procedures and ethics that you need to follow.
Positive,3,0.417940468,Manual Review,"For me, I am under the Group Internal Audit function."
Negative,Negative,0.419914365,Manual Review,Not to say that all departments are like this but majority of leaders who has been with the bank >10years will have mentality like this.
Negative,Negative,0.420949131,Manual Review,Old structure of company
Positive,3,0.421370089,Manual Review,I realized that OICs might have different understandings.
Positive,2,0.428752631,Manual Review,stressful but flexible schedule
Negative,Negative,0.429154575,Manual Review,Minimal training and development programmes.
Positive,2,0.42971316,Manual Review,Incentives are small compared to other banks.
Negative,Negative,0.430812955,Manual Review,Would be nice to have help from top management for new staff
Positive,2,0.430970371,Manual Review,a lot of meetings.
Positive,2,0.433409959,Manual Review,sometimes back to back meetings.
Positive,Positive,0.433763623,Manual Review,Annual leave 24 days.
Negative,Negative,0.434362411,Manual Review,Low commission compare to other banks Slow system for loan submission
Positive,3,0.436331838,Manual Review,Has been 1 year there.
Positive,3,0.437405586,Manual Review,Environment health depends on your manager and other staffs.
Positive,3,0.437986642,Manual Review,"The allowance was given based on the number of days you worked, which might not work for everyone expecting a fixed monthly pay."
Negative,Negative,0.43804419,Manual Review,The system used by everyone is new and nowhere near perfect.
Negative,Negative,0.438073128,Manual Review,"Good pay and bonus, yet there's no work life balance."
Negative,Negative,0.43872273,Manual Review,There is stress in banking task but we as workers smart to handle it.
Positive,3,0.439125896,Manual Review,Except for clericals every other officers has to do cross selling like saving accounts and so on.
Negative,3,0.440076977,Manual Review,And as banker we must manage our time with team to finish the task.
Positive,2,0.440541536,Manual Review,CIMB is actually quite a manual-based company (attendance have to sign on paper).
Positive,3,0.441975921,Manual Review,working following retail operation time
Negative,Negative,0.443719566,Manual Review,Daily task have to be completed on time 
Positive,3,0.444342822,Manual Review,However the working culture is highly dependent on your team leads and preferences from the top management.
Positive,2,0.445540696,Manual Review,When the volume work becomes high.
Negative,Negative,0.44804135,Manual Review,Each department only knows their own product instead of knowing all.
Positive,2,0.448230803,Manual Review,You will notice to get different answers.
Negative,Negative,0.448727518,Manual Review,Must to find customer salary basic above 3k to get better achievement but in kedah and penang most workers basic 1.5k 
Positive,2,0.448739111,Manual Review,Promotion will be mostly based on the service years rather than job performance.
Negative,Negative,0.450239807,Manual Review,Need to cover the task for the colleague that take leave.
Positive,2,0.451016456,Manual Review,need to attend branch morning briefing every day
Negative,Negative,0.451487273,Manual Review,You donât get commission for during cross selling.
Negative,Negative,0.452845573,Manual Review,Unclear commission
Neutral,2,0.453148663,Manual Review,Attractive benefits but limited growth
Positive,3,0.453818977,Manual Review,"the workers are mostly boomers, which is normal since that is how local bank is, lots of boomers"
Positive,Positive,0.455111206,Manual Review,Pretty straightforward .
Negative,Negative,0.456094563,Manual Review,"I used to work at CIMB as financial analyst, working environment is fine but somehow I saw that everyone is trying really hard to appeal bosses which"
Negative,Negative,0.456304103,Manual Review,No OT payment but expected to OT every single day
Positive,2,0.456970841,Manual Review,"The workload is quite heavy, but by time ull get used to it."
Negative,Negative,0.459260315,Manual Review,Need to work on Sunday 2 times per month so overall you just have 2 days of offday per month.
Positive,Positive,0.460274816,Manual Review,"While the job offered some valuable learning experiences, "
Neutral,Neutral,0.461054921,Manual Review,People from banking industry may find it normal.
Negative,3,0.463620126,Manual Review,"Shift, management leader"
Negative,Negative,0.464019746,Manual Review,Its a way for them to hold their staff to not resign.
Negative,Negative,0.465012431,Manual Review,All higher ups care is sales.
Negative,Negative,0.465026766,Manual Review,Unclear commission calculate
Positive,2,0.467419088,Manual Review,"Overall, while the job can be challenging,"
Negative,Negative,0.468145847,Manual Review,The name is not top.
Negative,Negative,0.468159318,Manual Review,"But working in sales department , you must achieved target to get commission"
Negative,Negative,0.469783276,Manual Review,Management Style: - Old-school management required multiple layers to apply work access.
Positive,2,0.469819278,Manual Review,Concall in the morning will pulled your mood
Positive,3,0.470571876,Manual Review,On the Friday..
Positive,3,0.471224099,Manual Review,"shift hour working, the schedule was tiring coz keep changing, but the salary quite high, so its quite balance."
Positive,2,0.472619146,Manual Review,"If you preffered working like a robot, can try this"
Negative,Negative,0.475374013,Manual Review,Old working system.
Positive,3,0.475948066,Manual Review,Position that I'm holding is very multitasking and need to carry to target as well .
Neutral,1,0.476463586,Manual Review,but still free of mind
Negative,Negative,0.476678669,Manual Review,Need also to involve with events and might need to stay very late.
Positive,3,0.477829427,Manual Review,Because the exchange is done to prior to customers and company interest.
Negative,Negative,0.478765488,Manual Review,No commission or very minimal rewards
Positive,2,0.479024231,Manual Review,OT can be claimed but depends on line manager.
Positive,Positive,0.479672819,Manual Review,Have 7 days block leave every year to get away from work.
Negative,Negative,0.480039835,Manual Review,This comes with old system and SOPs as they prefer to reduce cost.
Negative,Negative,0.482518792,Manual Review, but need to push for sales.
Positive,2,0.48339653,Manual Review,the work is stress and if u can handle then you can work here
Negative,Negative,0.483522981,Manual Review,Try other company
Negative,3,0.484137982,Manual Review,"Because trust me, you can't remember 100% from class to call floor later on."
Positive,3,0.48434782,Manual Review,"So for those who want to revise, please jot down clearly inside your notebook."
Negative,Negative,0.484781206,Manual Review,A lot of paperwork to be done.
Negative,Negative,0.484916568,Manual Review,Chnage the commisioning structure without prior notice.
Positive,3,0.485793471,Manual Review,One in a million.
Positive,Positive,0.485827088,Manual Review,"Good colleagues at the branches , bad management."
Negative,Negative,0.486017227,Manual Review,No wfh.
Negative,Negative,0.487124234,Manual Review,slow increment and promotion.
Positive,Positive,0.488522649,Manual Review,having shift rotation
Positive,Positive,0.488631546,Manual Review,Fix increment yearly
Neutral,Neutral,0.488660574,Manual Review,Salary is at least average.
Positive,3,0.489385247,Manual Review,"have experience deal with customer, quality management and time handling."
Negative,Negative,0.489556015,Manual Review,"Fast paced, great opportunity but no career growth"
Positive,Positive,0.489805222,Manual Review,Nothing stressful for me.
Positive,3,0.490026563,Manual Review,When MCO take is the typical time for me
Positive,Positive,0.490790874,Manual Review,Always ways for improvement.
Negative,Negative,0.491453171,Manual Review,They would claw back 20% of the comm and only give it to u after 1 year.
Negative,Negative,0.491639435,Manual Review,Everything is about selling
Positive,Positive,0.491920948,Manual Review,Maternity leave six months.
Positive,3,0.493145764,Manual Review,"I was involved in various aspects of banking operations, such as customer service, handling financial products, and administrative support."
Positive,2,0.493517995,Manual Review,Management will be depends on your manager
Neutral,1,0.495688379,Manual Review,"Among colleagues ok, "
Negative,Negative,0.495973885,Manual Review,however I will say otherwise for my current supervisor
Positive,Positive,0.49756977,Manual Review,Working environment can be improved.
Positive,2,0.497833908,Manual Review,but high volume
Negative,Negative,0.498675615,Manual Review,"Maybe it's just this branch do not have much OT, normally we back at 6pm."
Positive,2,0.498893797,Manual Review,Wednesday because every Wednesday is a briefing day
Positive,2,0.499523431,Manual Review,Experience Raw Adulting
